ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,2,10059,10049,23,inxFoyvxRZw@N[HMHOR]LQDIHKPSDG@?DIj@w@P]HQDQBO@O@Q?MAK?C
147,2,10049,10017,24,cgxFwfwxR?KEOI[ISGMKQa@e@SWQUACQQ]a@MQSUk@u@EEMMg@s@gAkB]o@
147,2,10017,10018,25,{sxFqxwxRU_@]m@[g@w@oA
147,2,10018,5012,26,cxxFw~wxRKSa@g@]YMMWSi@g@MMWSYSqA}@QM_@WGEYUOMq@k@_Aw@
147,2,5012,5022,27,ghyF_mxxRGGs@g@GGWSc@[KKGEMMaAw@GG{@m@g@a@c@[EEmCuBSOOM[UOMo@g@i@a@MKMKWSeA{@US
147,2,5022,4222,28,ibzFwbyxRQO[UII_@[e@_@c@]QOWSa@[[YA?USk@c@OMOMoAeAg@a@WS[Wk@e@cAw@
147,2,4222,4223,29,svzFatyxRcAu@]WaBkAa@]KKQMa@[YS_@Q[O
147,2,4223,4143,30,ob{Fe}yxR]Qy@]q@[u@Yi@Uc@Oc@MKE]KQGk@QGCaA_@iAg@]OYMQIUI
147,2,4143,4121,31,}v{FigzxRAAaAa@UMIPk@jAWh@IPSMSMq@_@GEc@ISCK@IBKJYZKLOTSR??
147,2,4121,8079,32,ud|FkczxREDKJKHUNy@d@e@VULSLMJILSVOTa@l@SHSDQ@YCKE}@u@SOGEECAAACCAmAaAMK
147,2,8079,7011,33,uv|Fm`zxRWQWOYQ[QC?SGy@Qm@Mu@McAQKC
147,2,7011,7021,34,ab}F_ezxRi@Im@GWCY?UAe@?_@?w@A_A?eAAS?O?
147,2,7021,7031,35,ip}F{ezxRG?M?c@C[Gk@IIEKCQISIa@Ua@USMUQa@U]SYOUKu@a@SI
147,2,7031,7111,36,o_~FmmzxRaAe@IEECEC]SSK[QOKGCIEUMeAo@gBaACAGEOIQK_@Uk@[_@U_Ag@
147,2,7111,7211,37,ur~FwyzxR[Sw@c@ECa@U{@e@_@U[SSMsAw@OKWOm@c@_@Yi@]GGCACAOKw@g@MIKGKIIEgA{@i@a@CCi@a@_Au@
147,2,7211,7221,38,ym_Gsm{xRWS_@YGGyB_BWSq@g@SMSOaAs@
147,2,7221,60101,39,gy_Gwv{xRKIUOIGk@c@YUuAcASQQMOMg@]i@_@uAcAeAw@MI}@q@
147,2,60101,60121,40,_k`G{d|xR[SiAy@OIOKIGeCkBiCqB_@W
147,2,60121,60141,41,_y`G}o|xRg@a@g@]ECIIgAu@GGQOa@Yg@_@[Yg@[e@[GEQMOOMKIGCCa@][Q
147,2,60141,60161,42,yhaGq||xROKMGMIEEaBkA{@o@i@_@_@YEEECo@c@SOSOGEGEg@a@
