ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,2,4223,4143,30,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@KGcAm@cBw@KGkAa@UIaEyAMEyAe@iBy@]v@
147,2,4143,4121,31,kv{FmgzxRgBw@{@bB]~@_CmAQ?Q@KFSR]`@AB
147,2,4121,8079,32,od|FiczxRWR[T]P{@d@{@l@oBbCu@ESGsAgAkB_B
147,2,8079,7011,33,cw|Fy`zxR_@[o@WaHoA
147,2,7011,7021,34,ub}F}dzxRa@I]Eo@CaAGqEAIAi@C
147,2,7021,7031,35,mp}FafzxRk@Cq@G_@Ig@KWO[QiAq@kAi@g@a@w@a@UK
147,2,7031,7111,36,s_~FqmzxR{@e@QKm@_@q@]OK}A}@eBaAo@_@iAm@qAu@SK
147,2,7111,7211,37,ur~F}yzxRYOs@a@]SOIq@_@i@[k@[sAu@YQm@a@KIuAaAaBmAcBoAwAeAaAq@
147,2,7211,7221,38,wm_Gqm{xRaAu@{BaBiBsAiAw@
147,2,7221,60101,39,iy_Guv{xRcFsDyCyBmBwAeE}Cg@t@
147,2,60101,60121,40,sh`Gqh|xRiBoAeAvAWNuC}B}EiDiBqAg@_@Yn@Cd@vAdA
147,2,60121,60141,41,g}`Gwo|xRwAeABe@Xo@}BcBsAaAo@c@WSa@Y
147,2,60141,60161,42,}haGk||xRYUaGkEcBqAk@a@
147,2,60161,60201,43,ivaGag}xRa@Yg@]uDuCsBwA{AiAeAw@q@a@_@O]KcAMy@Os@Wc@K[GiH{@W`BpEt@l@J
147,2,60201,60261,44,ctbGiu}xRjCb@Tw@I_@U_@c@K[GiH{@uBeAsCg@q@MUEJAHFp@LrCf@DA
147,2,60261,61011,45,o_cGw|}xReCc@q@MUEkAMaC_@
147,2,61011,61021,46,yocGg{}xRKx@b@b@D`@Fj@xBU^KZQ`@a@BCRYRqAIe@O[_@YaC_@yAe@oBi@i@MYKa@EUGc@Ea@GsAIJ`A
147,2,61021,61031,47,q~cG{d~xR{@G_DSo@Ec@E_@A_AESA
147,2,61031,61041,48,ukdGmf~xRoCM{@EOAM?q@Aq@G{@X_FR
147,2,61041,62111,49,__eG_f~xRq@BuAJkA?o@Iw@@g@@a@Ag@?mAG{@GeBYy@S
147,2,62111,62121,50,oteGci~xRd@Ln@Nl@Hf@Dj@@xABrAENZANGJWDg@@a@Ag@?mAG{@GeBYiAYo@UkDmAq@fB@JAJEDI?GCGCBMHMu@c@YA
147,2,62121,62131,51,{bfGwm~xRw@[oBu@_A_@w@e@gByAcBqAk@e@g@_@l@g@j@e@lAgAJIJK??XOXC|@?n@?zBAX?GHQI{B@o@??~A{@?e@d@@VpAdAVTPL
147,2,62131,66371,52,mjfGyw~xRQMWUbAkA@w@w@??_B}@?YBYN??KJKHmAfAk@d@m@f@y@n@mDhCKH]NOHe@LY?}@?[CwAISAaBKyAI??gAS]Gq@MUvBbAL@QP@
147,2,66371,63361,53,ungGoq~xRQAAPcAMTwBqBm@oAk@MGMGuBy@a@KuAMObBI?eAGIA
147,2,63361,63181,54,mbhGix~xRH@dAFH?NcB_AG_AEgACsAC_@AoB@eAT}GfA
147,2,63181,63191,55,uwhG{x~xRoAJoAPmAVo@LWAQCi@Gy@YyAu@i@WWMe@Qa@O{IgDv@`Bt@nAd@\l@BVI
147,2,63191,63201,56,imiGo|~xRwHuC_@Mc@Q
147,2,63201,63211,57,}yiGkd_yRx@ZL@R?VIjDrA`E|AF\TjAe@Qa@O{IgD_@M{DsAMGcDcAME}Ac@q@Qo@Kk@lCCb@P~@h@I`@GO}@Pg@t@R
147,2,63211,63311,58,uejGog_yRe@Mq@Qo@KuAYMCKAOAkBSUCRaB^mD
147,2,63311,63391,59,kpjGes_yRZqCh@qALwAC_@I_@O]]e@aBS_AK_@KUO
147,2,63391,63381,60,owjGq_`yRx@HfANVaB_AK_@Kk@]SYO]Ga@?a@^sCFe@F]BQZ_CBQ@BEL[~BCPG\|ATRyA
147,2,63381,63371,61,ssjGio`yRSxA}AUGd@_@rC?`@F`@N\RXj@\^J~@J`BRbALL@I@CCcAMaBS_AK_@Kk@]SYO]Ga@?a@^sCFe@F]BQZ_CBQXyB^iC?M@c@Oo@]g@{E{Cu@e@OIHMf@u@b@}@T{@PkB|@JXJT`@tAlBLXc@bD
147,2,63371,64341,62,ixjGaeayRo@c@RUDm@^mC\YUa@YK}@KQjBUz@c@|@g@t@ILaAo@cDwBcApAXV
147,2,64341,64351,63,}fkG_hayRYWbAqAMIg@e@cCwBKKmAxAKvA]?KBg@Ce@Cg@_@PkD\GPHXf@
147,2,64351,64361,64,_mkGcrayRm@o@SWm@u@GIoByCc@{@We@EKiD|Ak@kArAq@EK
147,2,64361,64031,65,qzkG_`byRDJsAp@j@jAhD}ACIo@}Ag@mBAA_@}Ba@_DK_ACWAUIcACe@BqCuBC??A~@P??L
147,2,64031,64079,66,k_lGiwbyR?MQ?@_A??tBB?_@@wA?QBe@PiA`@sAb@u@HOFKt@iAn@o@~BqBj@m@DGpAiBUKw@Mc@CCR
147,2,64079,64059,67,aqkGiscyRBSb@Bv@LTJ|A_CT[d@o@NQR]`@e@~AqAJInCaC\Q^G`@A`@Dv@TrH~BTFOAEEsH_Cw@Ua@Ea@@_@F]PoC`Ct@p@GlAo@l@~@bA@B
147,2,64059,64049,68,_akGgwcyRAC_AcAn@m@FmAu@q@KH_BpAGf@AP?VPn@pBdChBzBtAxA`AdA\\tA~A`AdAt@x@jCnC\Jb@Bb@E\MhBcBcAiAQMUPm@j@s@}@MLQDaAeA
147,2,64049,64009,69,qqjGyfcyRxA|APELMl@g@b@f@PSRRPLbAhAiBbBiA~@{@z@WXo@f@OBu@?i@@UF{@x@k@j@
190,1,44009,44539,0,_tmGi}exRv@GF\h@K^IVIQREI_@Hi@JH^X~AFXJFPE
190,1,44539,44399,1,mlmGquexRQ{@Ia@UcAGWIc@Kc@dAk@hAo@\UVM~@k@f@c@JSxAaE
190,1,44399,44299,2,s`mGugfxRc@rAp@Xo@fBv@Xt@TdBcFr@RfCz@`@gAbCeHaCy@i@SaBi@^gATk@qAe@Z_A
190,1,44299,44289,3,mxlGczfxR[~@pAd@Uj@_@fAiBo@s@WFQNc@`@kAj@}BBs@Ei@Gk@Gi@Bo@f@yByA[\mB
190,1,44289,44279,4,e{lGylgxRs@u@TaAXJ`@wA~AX`@LJ]h@uBT[\]LIb@Yh@Sd@ONGJC`AQp@EfA?J_AIC
190,1,44279,44141,5,_hlGs}gxRHBK~@zBTf@Bf@Gd@OXGM[cAyBqAeDEI?AEKOc@
190,1,44141,44251,6,uelGmghxRCIGSY}@Qg@Uw@CKmBcGUw@a@eAM]MSq@aBgBuFe@}@MS^Q\QbEyAr@[\MA`A`@~B]?YcBIMOE[J]RsAf@i@jBDNPh@FR
190,1,44251,44241,7,iqlGwaixRy@iCe@}@MSK]Sm@UaAKiAE}@@kAHkAJg@
190,1,44241,44231,8,gvlGiwixRPw@b@iAtBaERa@lEgI
190,1,44231,44261,9,oflGijjxRr@^X]dAiBbAb@vAsCy@a@n@qAf@cAx@yAsAs@aAg@YOLSj@cArAiC?gAEc@kB_A`@{@n@Xf@}@
190,1,44261,40239,10,qvkGykkxRPe@T}@VgBJqCRuFJyCHy@Pg@XWf@Qf@Kb@Hj@b@z@z@`@Rb@Jh@BjBSlBYhCU~GiAzFaA~Gy@`AMzLgAxGi@PC`C[fDs@bGeB`FgBfFmCpF{DrEoEpEaGrJ}PbBqCjBaCrAqAfBqAtBcBx@e@p@m@f@u@Vi@Jq@D{@N{FPqDb@eDv@eDrAeDrAuB`AoArAuAbF}EdEqDpDmDjQqPnBkBtDmDzFsGfCuCvS}Uv@sAx@qBb@_BhAoGJ]p@uBfC_GxGiOlC_GbAmCvCuJ|@kC\s@v@oAbAuAfBgBpBiB|@iBPo@RcBDaAI{AOgAOc@a@SWASBUPKXCV@XH\J\Tr@^PPFd@NhCf@dATzAFr@AzEWLFj@Th@TnDtA
190,1,40239,40229,11,}kaGequxRvBz@lDx@`B`@x@L?@|@BrBOXAjAKHA
190,1,40229,40219,12,yt`GyluxRfAKhAILAv@GbCSTANAGcBjAI
190,1,40219,40209,13,_f`G}nuxRvBOJAH?P@pCY~Ba@xA_A`AyADG
190,1,40209,40199,14,ir_GywuxRf@y@N]Vw@Jq@VwARkATqAJm@@Eb@uCTyABSF_@^}B
190,1,40199,9219,15,yg_GauvxRFa@Ja@b@u@b@a@l@Yp@OzBIASgA@GKBQDGDEhEQ|Da@p@RhBh@f@Nh@Nn@T
190,1,9219,9047,16,gj~Fe{vxRxDnAz@\`AXPHtATj@H\CTSpAmC
190,1,9047,9037,17,kr}FyyvxRBQZe@xA{A`EqEn@aAh@kAJ[m@WuB_A_AGk@BqDoAh@kA^}@`@}@t@eBlA?
190,1,9037,8138,18,ok}F{pwxR@Cb@cA`A_CDQhBcFHU`@eBn@mCh@gC^eBj@mCbAwEu@KqAS_BbH
190,1,8138,8057,19,eb}F_uxxRw@hDjCb@j@mCbAwEn@uCn@qCLq@FG^cB`@eBpAyFE_B{@JYJQJMXS`A[`Ak@t@m@f@dAT
190,1,8057,8069,20,kw|F}gyxR`@eBpAyFE_BGeCJu@Pq@o@i@
190,1,8069,4159,21,_m|Fw`zxRdA|@oBbCu@ESGsAgA`CgD`C}CxBwCnCgDfDvC
190,1,4159,4149,22,q}{FylzxRgDwCuDcDeCkBIGXa@l@y@\c@~@mAv@j@jAv@zAbAhBnA|FtDv@b@pBbAzAx@TJx@`@dAj@aAzBw@a@
190,1,4149,4229,23,go{FwczxRr@TLD`ExATHjA`@~AwB
190,1,4229,4239,24,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@\JrCvB`At@
190,1,4239,5059,25,uvzFmuyxRbAv@~B~AVRtAhA@`@Oj@eAbB{@lA_@p@o@z@zApANNhAbAX]~AcDl@mA
190,1,5059,5049,26,ykzFwjyxRe@_@c@]aA}@kA_A_Aq@CWBW~B~AVRtAhA^XzCbCpAfArB|A
